disease_en	disease_jp
amebic dysentery	アメーバ赤痢
amelanotic malignant melanoma	無色素性悪性黒色腫
amelia	無肢症
ameloblastic fibroma	エナメル上皮線維腫
ameloblastic fibrodentinoma	エナメル上皮線維象牙質腫
ameloblastic fibro-odontoma	エナメル上皮線維歯牙腫
ameloblastic fibrosarcoma	エナメル上皮線維肉腫
ameloblastic sarcoma	#NAME?
ameloblastoma	エナメル上皮腫
malignant ameloblastoma	悪性エナメル上皮腫
amelogenesis imperfecta	エナメル質形成不全症
amelus	無肢体
amenorrhea	無月経
amnionitis	羊膜炎
amniorrhea	羊水漏
amniorrhexis	羊膜破裂
amorphus	無形体
amputation neuroma	切断神経腫
amyelotrophy	脊髄萎縮
amyloidosis	アミロイド症∥アミロイドーシス∥類澱粉沈着症
pulmonary amyloidosis	肺アミロイドーシス
systemic amyloidosis	全身性アミロイドーシス
amyotrophic lateral sclerosis	筋萎縮性側索硬化症(略 ALS)
anal atresia	鎖肛(imperforate anus//aproctia//atresia ani[L])
anal fissure	裂肛∥肛門裂傷(fissura ani[L])
anal fistula	痔瘻∥肛門瘻
anal prolapse	肛門脱∥直腸脱
anal ulcer	肛門潰瘍
analgia	無痛覚
anaphylaxis	アナフィラキシー
anaphase	後期
anaplasia	退行形成∥退形成
anconitis	肘関節炎
anemia	貧血
aplastic anemia	再生不良性貧血
hemolytic anemia	溶血性貧血
hypochromic anemia	低色素性貧血
iron deficiency anemia	鉄欠乏性貧血
normocytic anemia	正球性貧血
nutritional anemia	栄養性貧血
osteosclerotic anemia	骨硬化性貧血
pernicious anemia	悪性貧血
refractory anemia	不応性貧血[略 RA]
anemic polyneuritis	貧血性多発性神経炎
anetoderma	斑状皮膚萎縮症
aneurysm	動脈瘤
atherosclerotic aneurysm	粥状硬化性動脈瘤∥アテローム硬化性動脈瘤
dissecting aneurysm	解離性動脈瘤
mycotic aneurysm	真菌性動脈瘤
aneurysmal bone cyst	脈瘤性骨嚢胞
angialgia	血管痛(angiodynia)
angiectasis	血管拡張症
angiitis	血管炎(vasculitis)
angina pectoris	狭心症
anginal pain	アンギーナ痛∥狭心[症]痛
angiocarditis	血管心臓炎
angiocholecystitis	胆嚢胆管炎
angiocholitis	胆管炎
angiodynia	血管痛(angialgia)
angiofibroma	血管線維腫
angioglioma	血管神経膠腫
angioleiomyoma	血管平滑筋腫(vascular leiomyoma)
angioleiomyosarcoma	血管平滑筋肉腫
angiolipoma	血管脂肪腫
angioma	管腫
angiomatosis	血管腫症
bacillary angiomatosis	細菌性血管腫症
angiomyolipoma	血管筋脂肪腫
angiomyoma	血管筋腫∥血管平滑筋腫
angiomyxoma	血管粘液腫
angioneuropathy	血管神経症(vasoneurosis)
angiopathy	血管障害
angiorrhexis	血管破裂
angiosarcoma	血管肉腫∥管肉腫
angiotitis	血管性耳炎
anhydromyelia	無髄液(症)
anisocoria	瞳孔不同(症)
ankyloblepharon	眼瞼癒着(blepharosynechia; symblepharon)
ankylosing spondylitis	強直性脊椎炎[略 AS](=spondylitis ankylopoietica[L])
ankylosis	硬直
ankyloglossia	舌癒着症∥舌小帯短小
ankylocheilia	口唇硬直
anodontia	無歯症
anomaly	異常
chromosomal anomaly	染色体異常
anonychia	無爪症∥爪甲欠損(症)
anophthalmia	無眼球(症)
anopia	無眼球(症)
anorexia	食欲減退
anosmia	無嗅覚[症]∥嗅覚消失
anosphrasia	無嗅覚症∥嗅覚消失(anosmia)
anovulation	無排卵症
anovulatory menstruation	無排卵性月経
anoxemia	無酸素血症
anoxia	無酸素症(形 *anoxic)
anoxic encephalopathy	低酸素性脳症(hypoxic encephalopathy) 
anteflexion of uterus	子宮前屈
anterior poliomyelitis	脊髄前角炎
anthracopneumoconiosis	黒塵肺(症)(black lung disease)
anthrax	炭疽
antiperistalsis	逆蠕動
antral gastritis	前庭胃炎
anuria	無尿(症)
aortalgia	大動脈痛
aortectasia	大動脈拡張症
aortic aneurysm	大動脈動脈瘤
aortic arch syndrome	大動脈弓症候群(略 AAS)
aortic atresia	大動脈弁閉鎖(略 AA)
aortic stenosis	大動脈弁狭窄
aortitis	大動脈炎
aortosclerosis	大動脈硬化(症)
aphagia	嚥下不能(症)
aphakia	無水晶体(症)
aphasia	失語症
aphonia	失声症
aphthous gingivitis	アフタ性歯肉炎
aphthous pharyngitis	アフタ性咽頭炎
aphthous stomatitis	アフタ性口内炎
apituitarism	無下垂体症
aplasia	無形成
apnea	無呼吸(症)
apodia	無足(症)
aponeurositis	腱膜炎
apophysitis	骨端症
apoplexy	脳卒中
appendalgia	虫垂痛(appendicalgia)
appendicalgia	虫垂痛(appendalgia)
appendicitis	虫垂炎
apraxia	失行症∥行動不能症
aproctia	鎖肛(anal atresia; atresia ani[L]; imperforate anus)
aprosopia	無顔症
aprosopus	無顔体
apus	無足体
arachnoid cyst	クモ膜嚢胞
areolitis	乳輪炎
armwrestling fracture	腕相撲骨折
arrhythmia	不整脈
arteriochalasis	動脈弛緩(症)
arteriodialysis	動脈離開
arteriolith	動脈結石
arteriolitis	細動脈炎
arteriolonecrosis	細動脈壊死
arteriolosclerosis	細動脈硬化(症)
arteriomalacia	動脈軟化(症)
arteriomyomatosis	動脈筋腫症
arteriopathy	動脈疾患∥動脈症
arteriorrhexis	動脈破裂
arteriosclerosis	動脈硬化(症)
arteriosclerosis obliterans	閉塞性動脈硬化症[略 ASO]
arteriosclerotic heart disease	動脈硬化性心疾患[略 AHD]
arteritis	動脈炎
arthrectasia	関節腔拡張症
arthredema	関節浮腫
arthritis	関節炎
chronic inflammatory arthritis	慢性炎症性関節炎
gouty arthritis	痛風性関節炎
rhematoid arthritis	リウマチ性関節炎
traumatic arthritis	外傷性関節炎
uratic arthritis	痛風性関節炎
arthrocele	関節瘤
arthrochalasis	関節弛緩症
arthrochondritis	関節軟骨炎
arthroclisis	関節強直
arthrogryposis	関節拘縮症
arthrolith	関節結石
arthrolithiasis	関節結石症
arthrolues	関節梅毒
arthropathy	関節症
arthrosis	関節症
arthrosynovitis	関節滑液膜炎
asbestosis	石綿症
ascites	腹水(形 *ascitic)
aseptic meningitis	無菌性髄膜炎
aspergillosis	アスペルギルス症
aspermatism	無精液(症)(aspermia)
aspermia	無精液(症)(aspermatism)
asphyxia	窒息(suffocation)
aspiration pneumonia	吸引性肺炎∥嚥下性肺炎
asterixis	羽ばたき震顫(liver flap; flapping tremor)
asthma	喘息
cough variant asthma	咳喘息(略 CVA)
asthmatic bronchitis	喘息性気管支炎(略 AB)
asthenia	無力症
asthenopia	眼精疲労(eye strain)
astigmatism	乱視
astomia	無口症
astrocytoma	星状膠細胞腫∥アストロチトーム
astrocytosis	星状細胞増加[症]∥星状細胞増多(症)
asynchrony	非同時性∥非同期∥異期
ataxia	運動失調
atelectasis	無気肺
atelencephalia	脳発育不全
atelocheilia	唇発育不全
atelocheiria	手発育不全
ateloglossia	舌発育不全
atelomyelia	脊髄発育不全
atheroembolism	粥腫塞栓症∥アテローム塞栓症
atheroma	粥腫∥粉瘤∥アテローム
atheromatosis	アテローム症
atheromatous degeneration	粥腫性変性∥アテローム変性
atherosclerosis	粥状動脈硬化症∥アテローム性動脈硬化症
atmospheric hypoxia	大気性低酸素症
atopic asthma	アトピー性喘息
atopic dermatitis	アトピー性皮膚炎
atopognosia	感覚部位失認
atopy	アトピー
atresia	閉鎖症
biliary atresia	胆道閉鎖症
atresia ani	鎖肛[L](=anal atresia; imperforate anus; aproctia)
atresia of right atrioventricular orifice	右房室口狭窄
atrial septal defect	心房中隔欠損症[略 ASD]
atrophic emphysema	萎縮性気腫
atrophic glossitis	萎縮性舌炎(Hunter's glossitis)
atrophic laryngitis	萎縮性喉頭炎
atrophoderma vermiculatum	虫食い状皮膚萎縮症[L]
atrophy	萎縮
brown atrophy	褐色萎縮
disuse atrophy	廃用性萎縮
senile atrophy	老人性萎縮
atypical pain	不定疼痛
atypical adenomatous hyperplasia	異型腺腫様過形成[略 AAH]
auditory neuropathy	神経性聴覚障害
autoimmune hepatitis	自己免疫性肝炎
avascular osteonecrosis	阻血性壊死
avascularization	無血管化
avulsion fracture	剥離骨折
axanthopsia	黄色盲
azoospermia	無精子症∥精子欠如症
bacillary dysentery	細菌性赤痢
back lump	背部腫瘤
bacteremia	菌血症
bacterial food poisoning	細菌性食中毒
bacterial infection	細菌性感染
bacterial meningitis	細菌性髄膜炎
bacterial pneumonia	細菌性肺炎
bacterial pulpitis	細菌性歯髄炎
bacterial vaginosis	細菌性膣症
bad breath	口臭(halitosis)
basal cell adenoma	基底細胞腺腫
basal cell carcinoma	基底細胞癌
basal cell nevus syndrome	基底細胞母斑症候群
basedow's disease	バセドウ病
basilar artery aneurysm	脳底動脈瘤
basilar meningitis	脳底髄膜炎∥頭蓋底髄膜炎
battle fatigue	戦闘疲労
benign cementoblastoma	良性セメント芽細胞腫
benign intracranial hypertension	良性頭蓋内圧亢進症
benign lymphoepithelial lesion	良性リンパ上皮性病変
benign osteoblastoma	良性骨芽細胞腫
benign prostatic enlargement	良性前立腺腫大(略 BPE)
biconcave vertebrate	二凹脊椎
bicornate uterus	双角子宮
bidactyly	二指症
bile duct carcinoma	胆管癌∥胆管細胞癌(cholangiocarcinoma)
extrahepatic bile duct carcinoma	肝外胆管癌
biliary cirrhosis	胆汁性肝硬変(obstructive cirrhosis)
primary biliary cirrhosis	原発性胆汁性肝硬変
secondary biliary cirrhosis	二次性胆汁性肝硬変
biliary cystadenocarcinoma	胆管嚢胞腺癌
biliary cystadenoma	胆管嚢胞腺腫
biliary encephalopathy	胆汁性脳症
biloma	嚢内貯留胆汁
black lung disease	黒塵肺(症)anthracopneumoconiosis 
bladder injury	膀胱損傷
blastoma	芽細胞腫∥芽球腫∥芽腫
blastomycosis	醸母菌症
bleeding	出血(hemorrhage)
pontine bleeding	橋出血(pontine hemorrhage)
subdural bleeding	硬膜下出血(subdural hemorrhage)
blepharadenitis	眼瞼腺炎(blepharoadenitis)
blepharedema	眼瞼浮腫
blepharism	眼瞼痙攣(blepharospasm) 
blepharitis	眼瞼炎
blepharoadenitis	眼瞼腺炎(blepharadenitis)
blepharoadenoma	眼瞼腺腫
blepharoatheroma	眼瞼粉瘤∥眼瞼アテローム
blepharochalasis	眼瞼皮膚弛緩(症)
blepharoconjunctivitis	眼瞼結膜炎
blepharochromidrosis	眼瞼色汗症
blepharoclonus	間代性眼瞼痙攣
blepharophimosis	眼瞼縮小
blepharoplegia	眼瞼麻痺
blepharoptosis	眼瞼下垂(症)
blepharospasm	眼瞼痙攣
blepharosynechia	眼瞼癒着(ankyloblepharon; symblepharon)
bloody diarrhea	血性下痢
bone cyst	骨嚢胞
bone defect	骨欠損
bone fracture	骨折
bone infarction	骨梗塞
boring pain	穿孔痛
borreliosis	ボレリア感染症∥ボレリア症
lyme borreliosis	ライム*ボレリア感染症∥ライム*ボレリア症
bovine tuberculosis	牛型結核(症)
bow elbow	内反肘(cubitus varus)
bowen's disease	ボーエン病
brachycephaly	短頭症
brachygnathia	短顎(症)
bradycardia	徐脈
bradykinesia	運動緩慢
bradypepsia	消化緩徐
bradypnea	徐呼吸∥呼吸緩慢
bradysphygmia	徐脈
brain concussion	脳震盪(cerebral concussion)
brain contusion	脳挫傷
brain death	脳死
brain hemorrhage	脳出血(cerebral hemorrhage; hematencephalon; encephalorrhagia)
brain infarction	脳梗塞
brain metastasis	脳転移
brainstem hemorrhage	脳幹出血
brainstem infarction	脳幹梗塞
branchial cyst	鰓嚢胞
breast cancer	乳癌
breast carcinoma	乳癌
breast milk jaundice	母乳性黄疸
brevicollis	短頚症
bronchial asthma	気管支喘息
bronchial pneumonia	気管支肺炎(bronchopneumonia)
bronchial spasm	気管支痙攣(bronchospasm)
bronchiectasia	気管支拡張症(bronchiectasis)
bronchiectasis	気管支拡張症(bronchiectasia)
congenital bronchiectasis	先天性気管支拡張症
bronchiolar adenocarcinoma	細気管支腺癌(bronchiolar carcinoma)
bronchiolar carcinoma	細気管支腺癌(bronchiolar adenocarcinoma)
bronchiolitis	細気管支炎
chronic bronchiolitis	慢性細気管支炎
congestive bronchiolitis	うっ血性細気管支炎
bronchitis	気管支炎
chronic bronchitis	慢性気管支炎
bronchoalveolar carcinoma	気管支肺胞癌
bronchogenic carcinoma	気管支癌
broncholith	気管支結石
bronchomycosis	気管支真菌症∥気管支真菌感染症
bronchopneumonia	気管支肺炎
bronchospasm	気管支痙攣
brown induration	褐色硬化
bulbar bleeding	延髄出血(bulbar hemorrhage; hematobulbia)
bulbar hemorrhage	延髄出血(bulbar bleeding; hematobulbia) 
bullous pemphigoid	水疱性類天疱瘡
bursal hernia	滑液包ヘルニア
bursitis	滑液包炎∥滑液嚢炎
cacogeusia	異常味覚
cafe-au-lait spot	カフェオーレ斑
calcaneitis	踵骨炎
calcaneovalgus	踵骨外反(*扁平足にみる)
calcification	石灰化
dystrophic calcification	異栄養性石灰化
ectopic calcification	異所性石灰化
metastatic calcification	転移性石灰化
pathological calcification	病的石灰化
pulmonary calcification	肺石灰化
malherbe's calcifying epithelioma	マレルブ石灰化上皮腫(calcifying epithelioma of Malherbe)
calcifying odontogenic cyst	石灰化歯原性嚢胞
calcinosis	石灰症
calculus	結石(stone)
cerebral calculus	脳石
dental calculus	歯石
urethral calculus	尿道結石
canalicular adenoma	細管状腺腫
colorectal cancer	結腸直腸癌
gallbladder cancer	胆嚢癌
liver cancer	肝癌
lung cancer	肺癌
mammary cancer	乳癌
cancroid	類癌
candidiasis	カンジダ症
canker sore	口唇潰瘍
canthitis	眼角炎
carcinoid	カルチノイド
carcinoma	癌腫
carcinoma colli	子宮頚癌[略 CC]
carcinoma in situ	上皮内癌
cervical carcinoma	子宮頚癌(cervical cancer)
clear cell carcinoma	明細胞癌
epidermoid carcinoma	類表皮癌
large cell carcinoma	大細胞癌
mucoepidermoid carcinoma	粘表皮癌
renal cell carcinoma	腎細胞癌
small cell carcinoma	小細胞癌
squamous cell carcinoma	扁平上皮癌
verrucous carcinoma	疣贅癌
carcinomatosis	癌腫症∥癌多発症
cardiac hypertrophy	心肥大
cardiac pain	心臓痛(cardialgia; cardiodynia)
cardialgia	心臓痛(cardiac pain; cardiodynia)
cardiocirrhosis	心臓性肝硬変
cardiodynia	心臓痛(cardiac pain; cardialgia)
cardiogenic shock	心原性ショック
cardiomegaly	心臓肥大[症]∥心肥大
cardiopathy	心臓病∥心臓疾患
cardiopericarditis	心臓心膜炎
cardiophobia	心臓恐怖症
cardioptosis	心臓下垂症
cardiorrhexis	心破裂
cardiospasm	噴門痙攣
cardiovalvulitis	心弁膜炎
carditis	心臓炎
cardiomyopathy	心筋症
diabetic cardiomyopathy	糖尿病性心筋症
rheumatic carditis	リウマチ性心筋炎
carotid cavernous sinus fistula	内頚動脈海綿静脈洞瘻
carpal tunnel syndrome	手根管症候群(略 CTS)
carpoptosis	下垂手
caruncle	カルンクル
urethral caruncle	尿道カルンクル
caseous pneumonia	乾酪性肺炎
cataract	白内障
cuneiform cataract	楔状白内障
diabetic cataract	糖尿病性白内障
membranous cataract	膜性白内障
nuclear cataract	核[性]白内障
posterior subcapsular cataract	後嚢下白内障(略 PSC)
tetanic cataract	痙攣性白内障
traumatic cataract	外傷性白内障
catarrhal gastritis	カタル性胃炎
catarrhal inflammation	カタル性炎症
cauda equina injury	馬尾損傷
causalgia	灼熱痛
cavernitis	海綿体炎
cavernoma	海綿腫
cavernous sinus thrombosis	海綿静脈洞血栓
cecitis	盲腸炎
cecoptosis	盲腸下垂症
celialgia	腹部疝痛
cellular embolism	細胞性塞栓症
cellulitis	蜂窩織炎
cementifying fibroma	セメント質形成性線維腫
cemento-osseous dysplasia	セメント質骨異形成(症)
cemento-ossifying fibroma	セメント質骨形成[性]線維腫
cementum hyperplasia	セメント質増殖症(hypercementosis)
central deafness	中枢聾
central giant cell granuloma	中心性巨細胞肉芽腫
central retinal artery occlusion	網膜中心動脈閉塞[略 CRAO]
cephalalea	頭痛(headache)
cephalalgia	頭痛(cephalalgy; headache)
cephalalgy	頭痛(cephalalgia; headache)
cephaledema	頭部水腫
cephalopagus	頭部結合体
cephalopathy	頭部疾患
cephalothoracopagus	頭胸結合体
cerebellar bleeding	小脳出血(cerebellar hemorrhage)
cerebellar hemorrhage	小脳出血(cerebellar bleeding)
cerebellar infarction	小脳梗塞
cerebral concussion	脳震盪(brain concussion)
cerebral contusion	脳挫傷
cerebral hernia	脳ヘルニア
cerebral hemorrhage	脳出血(brain hemorrhage; hematencephalon; encephalorrhagia)
cerebral infarction	脳梗塞
cerebral meningitis	脳膜炎∥脳髄膜炎
cerebral thrombosis	脳血栓症
cerebral toxoplasmosis	脳トキソプラスマ症
cerebrosclerosis	脳硬化症
cerebrospinal fluid hypovolemia	脳脊髄液減少(症)
cerebrospinal meningitis	脳脊髄膜炎∥髄膜炎
cerebrospinal rhinorrhea	髄液鼻漏
cerebrospinal syphilis	脳脊髄梅毒
ceruminosis	耳垢症
cervicitis	子宮頚炎
cervicodynia	頚痛∥頚部痛∥頚筋痛
cervico-omo-brachial syndrome	頚肩腕症候群
chalazion	霰粒腫
chance hematuria	偶発性血尿
cheilectropion	口唇外反
cheilitis	口唇炎
cheilitis granulomatosa	肉芽腫性口唇炎
cheilognathopalatoschisis	唇顎口蓋裂
cheilognathoschisis	唇顎裂∥唇顎披裂
cheiloschisis	口唇裂
cheilosis	口唇症
cheiromegaly	巨指(症)
cheirospasm	書痙
chemical esophagitis	化学性食道炎
chemical hepatitis	化学性肝炎
chemical periodontitis	化学的歯周炎
chemical peritonitis	化学性腹膜炎
chest pain	胸痛(stethalgia)
chickenpox	水痘(varicella)
childhood asthma	小児性喘息
childhood cervical lymphadenopathy	小児性頚部リンパ節症
chlorephidrosis	緑汗症
chlorhydria	胃酸過多症∥過酸症
cholangiectasis	胆管拡張症
cholangiocarcinoma	胆管癌∥胆管細胞癌(bile duct carcinoma)
cholangiohepatitis	肝胆管炎
cholangiohepatoma	胆管肝癌∥肝胆管細胞癌
cholangioma	胆管腫
cholangiopathy	胆管症∥胆管病
cholangiosarcoma	胆管肉腫
cholangitis	胆管炎
cholecystalgia	胆嚢痛∥胆嚢疝痛
cholecystatony	胆嚢弛緩
cholecystectasia	胆嚢拡張症
cholecystitis	胆嚢炎
cholecystocholedocholithiasis	胆嚢総胆管結石症
cholecystolithiasis	胆嚢結石症
cholelith	胆石(chololith; gallstone)
cholelithiasis	胆石症(gallstone disease)
cholemesis	胆汁嘔吐(症)
cholemia	胆血症
choleperitoneum	胆汁性腹膜炎
cholera	コレラ
cholera diarrhea	コレラ性下痢(choleraic diarrhea)
choleraic diarrhea	コレラ性下痢(cholera diarrhea)
cholesterol embolism	コレステロール塞栓症(atheroma embolism)
chololith	胆石(cholelith; gallstone)
cholorrhea	胆汁過剰分泌(cholorrhoea)
cholorrhoea	胆汁過剰分泌(cholorrhea)
cholestasis	胆汁鬱滞
cholesteatoma	コレステリン腫
cholesterolemia	高コレステロール血症
choluria	胆汁尿
chondritis	軟骨炎
chondrodermatitis	軟骨皮膚炎
chondrodermatitis nodularis helicis	耳輪結節性軟骨皮膚炎
chondrodystrophia fetalis	胎児性軟骨異栄養症
chondrodystrophy	軟骨ジストロフィー
chondroma	軟骨腫
chondromalacia patellae	膝蓋軟骨軟化(症)
chondromyxofibroma	軟骨粘液性線維腫(chondromyxoid fibroma)
chondromyxoid fibroma	軟骨粘液性線維腫(chondromyxofibroma)
chondromyxoid sarcoma	軟骨粘液肉腫(chondromyxosarcoma)
chondromyxoma	軟骨粘液腫
chondromyxosarcoma	軟骨粘液肉腫(chondromyxoid sarcoma)
chondronecrosis	軟骨壊死
chondrosarcoma	軟骨肉腫
chondrosis	軟骨症
chonechondrosternon	漏斗胸(funnel chest; koilosternia; pectus excavatum[L])
chorea	舞踏病
chorioadenoma	絨毛腺腫
chorioadenoma destruens	破壊性絨毛腺腫[L](=invasive mole)
chorioamnionitis	絨毛羊膜炎
choriocarcinoma	絨毛癌
chorioepithelialoma	絨毛上皮腫
choristoblastoma	分離芽腫
choristoma	分離腫
choroiditis	脈絡膜炎
christmas disease	クリスマス病
chromate intoxication	クロム中毒
chronic active hepatitis	慢性活動性肝炎
chronic appendicitis	慢性虫垂炎
chronic articular rheumatism	慢性関節リウマチ
chronic caries	慢性齲蝕
chronic cervical lymphadenitis	慢性頚部リンパ節炎
chronic cervicofacial lymphadenitis	慢性頚部顔面リンパ節炎
chronic diarrhea	慢性下痢
chronic diffuse sclerosing osteomyelitis	慢性瀰満性硬化性骨髄炎
chronic gastritis	慢性胃炎
chronic inflammation	慢性炎症
chronic interstitial cystitis	慢性間質性膀胱炎
chronic interstitial pneumonia	慢性間質性肺炎
chronic lymphocytic leukemia	慢性リンパ性白血病[略 CLL]
chronic maxillary sinusitis	慢性上顎洞炎
chronic myelogenous leukemia	慢性骨髄性白血病(chronic myeloid leukemia)
